"A" "M_cont" "Ycen_noint" "Y_cont_noint" "Y_bin_noint" "Y_count_noint" "cen" "C" "delta"
"1" 0 -0.492753327326915 0.0264824099698845 -3.71646183250407 0 3 0.0671038325921441 1.42709994737355 0
"2" 0 1.15383933669134 0.0242412217721325 -1.06763932660062 0 1 0.0671038325921441 0.768598555917843 0
"3" 0 -0.481762580467807 0.0477998160769681 -2.81108099464354 0 5 0.0671038325921441 1.40399308824373 0
"4" 0 -0.293179480541732 0.00215082290370797 -3.33750294742199 0 4 0.0671038325921441 0.45007847128902 0
"5" 0 -0.263358355213962 0.00156516755017825 -1.85571974437036 0 3 0.0671038325921441 0.30685960381358 0
"6" 0 1.53836938208649 0.014437512868268 -2.93015410852635 0 2 0.0671038325921441 -0.372565175096797 0
"7" 1 0.230612671269295 0.0259541260236856 -3.92110981760411 0 6 0.0671038325921441 0.922578690491061 0
"8" 0 0.174475487436514 0.0157825056099336 -1.32807562047587 1 9 0.0671038325921441 0.89395416491228 0
"9" 0 1.11290915786786 0.00277050378774788 -2.36788511081428 1 5 0.0671038325921441 1.44066521478613 0
"10" 0 -0.513218181900366 0.00358581035823771 -1.72640816011267 0 6 0.0671038325921441 0.715095425763123 0
"11" 1 1.28864221110661 0.0255253530170455 -2.87129450517387 0 3 0.0671038325921441 1.63017407418313 0
"12" 1 0.418695907461994 0.0134340944837928 -1.91365473931471 0 1 0.0671038325921441 -0.60761340579032 0
"13" 0 -2.85871942622222 0.0389790217671684 -1.83457972382286 0 3 0.0671038325921441 0.0845502760426293 0
"14" 0 -1.00794277244537 0.0671038325921441 -3.11174740133103 0 2 0.0671038325921441 -0.584764415956269 1
"15" 1 1.79558176780808 0.0266274631369508 -2.38368379122196 0 2 0.0671038325921441 -0.115796811000085 0
"16" 1 1.99580798467781 0.000698959110824387 -2.47666620955981 0 3 0.0671038325921441 1.68572803311131 0
"17" 0 0.59876413294529 0.0340206512842108 -2.44762155636247 0 5 0.0671038325921441 2.13508763383058 0
"18" 0 0.960327837174065 0.0272878186513275 -2.83664181042146 0 2 0.0671038325921441 2.09280919355302 0
