"","Y_bincc","A","M","C"
"1",0,1,1,0
"2",0,1,1,1
"3",0,1,0,1
"4",0,1,0,1
"5",0,0,1,0
"6",0,0,1,1
"7",0,1,1,1
"8",0,0,1,0
"9",0,1,0,0
"10",0,1,1,0
"11",0,1,0,0
"12",0,0,0,0
"13",0,1,0,1
"14",0,0,0,0
"15",0,0,1,1
"16",0,1,1,1
"17",0,1,0,1
"18",0,1,1,1
"19",0,1,1,0
"20",0,0,0,1
"21",0,1,0,0
"22",0,1,1,1
"23",0,0,0,1
"24",0,1,0,1
"25",0,1,0,0
"26",0,0,1,1
"27",0,1,0,1
"28",0,1,1,0
"29",0,0,0,0
"30",0,0,1,0
"31",0,1,0,0
"32",0,1,1,1
"33",0,1,0,1
"34",0,0,1,0
"35",0,1,0,0
"36",0,0,1,1
"37",0,0,1,0
"38",0,1,1,0
"39",0,0,1,1
"40",0,1,1,1
"41",0,1,1,1
"42",0,0,0,1
"43",0,0,1,1
"44",0,1,0,0
"45",0,0,0,0
"46",0,1,1,1
"47",0,1,0,0
"48",0,1,0,1
"49",0,0,0,1
"50",0,0,1,1
"51",0,0,1,0
"52",0,1,1,0
"53",0,1,0,1
"54",0,0,1,0
"55",0,1,1,0
"56",0,1,1,1
"57",0,1,0,1
"58",0,1,1,1
"59",0,1,0,1
"60",0,0,1,0
"61",0,0,1,0
"62",0,0,0,1
"63",0,1,1,0
"64",0,1,1,0
"65",0,1,0,0
"66",0,0,0,1
"67",0,0,0,0
"68",0,1,1,0
"69",0,1,0,0
"70",0,1,0,0
"71",0,1,0,1
"72",0,1,1,0
"73",0,0,0,1
"74",0,1,1,0
"75",0,1,1,1
"76",0,1,0,0
"77",0,1,0,1
"78",0,0,1,0
"79",0,1,0,0
"80",0,1,0,0
"81",0,0,1,1
"82",0,0,1,0
"83",0,1,0,1
"84",0,1,1,1
"85",0,1,0,0
"86",0,1,1,0
"87",0,1,1,0
"88",0,1,0,0
"89",0,1,1,1
"90",0,1,0,0
"91",0,0,0,1
"92",0,0,0,0
"93",0,0,1,0
"94",0,1,1,1
"95",0,1,0,1
"96",0,0,1,1
"97",0,1,0,0
"98",0,1,1,0
"99",0,1,0,0
"100",0,1,1,0
"101",0,1,0,0
"102",0,1,1,0
"103",0,0,1,0
"104",0,1,1,0
"105",0,1,1,0
"106",0,1,0,1
"107",0,1,1,1
"108",0,1,0,0
"109",0,0,0,0
"110",0,0,0,1
"111",0,1,1,1
"112",0,1,0,1
"113",0,0,1,1
"114",0,0,0,0
"115",0,1,0,1
"116",0,0,0,0
"117",0,1,1,0
"118",0,1,1,1
"119",0,0,1,0
"120",0,0,0,0
"121",0,1,0,1
"122",0,1,1,0
"123",0,1,1,1
"124",0,1,1,0
"125",0,1,1,0
"126",0,1,1,1
"127",0,0,0,0
"128",0,1,1,1
"129",0,1,1,0
"130",0,1,0,1
"131",0,1,0,0
"132",0,0,1,0
"133",0,1,1,1
"134",0,0,1,0
"135",0,1,0,1
"136",0,1,1,1
"137",0,0,0,0
"138",0,0,1,0
"139",0,1,1,1
"140",0,1,1,1
"141",0,0,0,1
"142",0,0,1,1
"143",0,0,0,0
"144",0,0,1,0
"145",0,1,0,0
"146",0,1,1,1
"147",0,0,1,1
"148",0,1,1,1
"149",0,1,0,1
"150",0,1,1,1
"151",0,1,0,1
"152",0,0,1,1
"153",0,1,0,0
"154",0,1,1,1
"155",0,1,1,0
"156",0,1,0,1
"157",0,1,0,0
"158",0,1,1,0
"159",0,1,1,0
"160",0,1,0,1
"161",0,1,1,0
"162",0,1,0,0
"163",0,1,1,1
"164",0,1,1,1
"165",0,0,1,1
"166",0,1,0,0
"167",0,1,1,0
"168",0,0,1,0
"169",0,1,1,1
"170",0,1,1,1
"171",0,1,1,0
"172",0,0,1,1
"173",0,1,1,0
"174",0,1,0,0
"175",0,0,1,0
"176",0,0,1,0
"177",0,0,1,1
"178",0,1,1,1
"179",0,1,0,1
"180",0,1,1,1
"181",0,0,0,1
"182",0,1,1,1
"183",0,1,1,1
"184",0,0,0,1
"185",0,0,0,1
"186",0,0,1,0
"187",0,0,0,1
"188",0,0,1,1
"189",0,1,0,0
"190",0,1,1,1
"191",0,1,1,1
"192",0,1,1,1
"193",0,0,1,0
"194",0,1,1,0
"195",0,0,0,0
"196",0,1,1,0
"197",0,1,1,1
"198",0,1,0,0
