"A" "M_bin" "Ycen_int" "Y_cont_int" "Y_bin_int" "Y_count_int" "cen" "C" "delta"
"1" 0 1 0.03243387367849 -2.58807460207083 0 1 0.0707822146519233 1.42709994737355 0
"2" 0 0 0.0170622827148688 -2.95613320364071 0 4 0.0707822146519233 0.768598555917843 0
"3" 0 1 0.0573560037939394 -3.78018976415045 0 2 0.0707822146519233 1.40399308824373 0
"4" 0 1 0.0129471523974489 -3.49272492601669 0 2 0.0707822146519233 0.45007847128902 0
"5" 0 0 0.00511992285927885 -1.67885253354895 0 4 0.0707822146519233 0.30685960381358 0
"6" 0 1 0.00604057160182448 -1.63400919692178 0 3 0.0707822146519233 -0.372565175096797 0
"7" 1 0 0.0595386972376087 -4.14385669140694 0 3 0.0707822146519233 0.922578690491061 0
"8" 0 0 0.0707822146519233 -2.89315980166686 0 3 0.0707822146519233 0.89395416491228 1
"9" 0 0 0.0212518752148056 -2.85164639388554 0 7 0.0707822146519233 1.44066521478613 0
"10" 0 0 0.0379141247211473 -4.62361850927522 0 4 0.0707822146519233 0.715095425763123 0
"11" 1 0 0.0707822146519233 -3.43890182073098 0 5 0.0707822146519233 1.63017407418313 1
"12" 1 0 0.0402454842700978 -3.90921399674911 0 2 0.0707822146519233 -0.60761340579032 0
"13" 0 1 0.014675958751853 -4.4425375739378 1 4 0.0707822146519233 0.0845502760426293 0
"14" 0 1 0.0112838211499858 -4.16171184203458 0 5 0.0707822146519233 -0.584764415956269 0
"15" 1 1 0.0190610872667437 -0.803732135772713 0 3 0.0707822146519233 -0.115796811000085 0
"16" 1 1 0.0336917024420495 -2.29248032944585 0 4 0.0707822146519233 1.68572803311131 0
"17" 0 1 0.0707822146519233 -3.68159509855424 0 3 0.0707822146519233 2.13508763383058 1
"18" 0 1 0.0317763825112899 -3.09282299345143 0 2 0.0707822146519233 2.09280919355302 0
"19" 0 0 0.0707822146519233 -3.33506005482392 0 6 0.0707822146519233 -0.0839065442870499 1
"20" 1 0 0.012279923806252 -2.19629875940466 0 3 0.0707822146519233 0.0435411738387445 0
"21" 0 0 0.0707822146519233 -1.64578262447597 0 1 0.0707822146519233 -0.613346849337158 1
"22" 1 1 0.0707822146519233 -4.32242677087515 0 1 0.0707822146519233 1.99794902251801 1
"23" 0 0 0.0101514746320571 -3.13560227736275 0 5 0.0707822146519233 1.801066684137 0
"24" 1 0 0.0707822146519233 -3.10039433082073 0 1 0.0707822146519233 1.8201047760212 1
"25" 0 1 0.0287455738249155 -2.4870105331923 0 1 0.0707822146519233 0.907206235377292 0
"26" 0 0 0.0032763797157913 -4.81757764449507 0 4 0.0707822146519233 0.687748142337789 0
"27" 1 1 0.0707822146519233 -3.18314507302045 0 6 0.0707822146519233 2.93903076500336 1
"28" 1 1 0.00488965912367913 -3.37285615394779 0 4 0.0707822146519233 0.319515920143305 0
"29" 0 1 0.0707822146519233 -2.37663645785763 0 4 0.0707822146519233 0.950920794601604 1
"30" 0 0 0.0252990275156616 -4.33822214565069 0 1 0.0707822146519233 1.12000937081117 0
"31" 0 1 0.0367975329153754 -2.52015658422498 0 2 0.0707822146519233 -0.308588787887879 0
"32" 1 1 0.00849457753761039 -4.15081008771091 0 3 0.0707822146519233 1.59255501738923 0
"33" 0 1 0.0707822146519233 -2.78710295829506 0 0 0.0707822146519233 -0.0403843740072645 1
"34" 1 0 0.0230146242336582 -4.60181836606215 0 2 0.0707822146519233 -0.195258393896444 0
"35" 1 0 0.00169668161132024 -3.36217331317248 0 1 0.0707822146519233 -0.835423309976087 0
"36" 1 0 0.0707822146519233 -2.67880116043479 0 0 0.0707822146519233 1.09616533076723 1
"37" 0 0 0.0707822146519233 -2.40155203187328 0 6 0.0707822146519233 1.19065479294453 1
"38" 1 1 0.0471234605643685 -2.50756834013042 0 4 0.0707822146519233 1.36148211784239 0
"39" 1 1 0.0172271224187605 -3.02129079552598 0 5 0.0707822146519233 1.93399699763769 0
"40" 0 1 0.00747693783622334 -4.2891438696617 0 0 0.0707822146519233 0.147082491852023 0
"41" 0 1 0.04318875499088 -3.62706708326858 0 0 0.0707822146519233 0.616968875396162 0
"42" 1 0 0.0213324699932781 -3.78708532765584 0 3 0.0707822146519233 1.12037628525467 0
"43" 1 1 0.0707822146519233 -2.21866187325884 0 7 0.0707822146519233 1.93073100234741 1
"44" 1 0 0.0242432684634197 -3.89489973445378 0 3 0.0707822146519233 1.15253204734302 0
"45" 1 0 0.00866466808340287 -2.14358535748698 0 3 0.0707822146519233 3.280282024176 0
"46" 0 1 0.0671790172183434 -3.62464938124001 0 4 0.0707822146519233 2.33701597866434 0
"47" 1 1 0.0435117542996567 -1.50865425833482 0 1 0.0707822146519233 0.354500165955198 0
"48" 1 1 0.0167096384786471 -1.19154781080812 0 2 0.0707822146519233 0.885664690174129 0
"49" 0 0 0.0146053990483126 -3.604401897328 0 3 0.0707822146519233 0.417976452899721 0
"50" 0 1 0.0422190836121141 -5.03451085700957 0 0 0.0707822146519233 -0.70285947477036 0
"51" 0 1 0.0551241779990401 -2.72996967532841 0 5 0.0707822146519233 0.737638180382835 0
"52" 0 0 0.0346387267637166 -1.76896168974318 0 4 0.0707822146519233 0.84339349067095 0
"53" 0 1 0.0572569849151102 -4.78483224387519 1 6 0.0707822146519233 1.21418665135541 0
"54" 0 1 0.0516539389055113 -4.4593866937708 0 3 0.0707822146519233 1.41484575511801 0
"55" 0 0 0.0401091962841259 -3.05659237371517 0 2 0.0707822146519233 1.31093733823164 0
"56" 0 1 0.0707822146519233 -3.73259110895772 0 3 0.0707822146519233 0.375326486103717 1
"57" 0 1 0.00106101370820394 -4.29797987749902 0 4 0.0707822146519233 1.8231634929049 0
"58" 0 0 0.0707822146519233 -1.04041355588674 0 1 0.0707822146519233 -0.140328519228992 1
"59" 0 1 0.0355824959389823 -2.47169306604506 0 3 0.0707822146519233 2.7318738678042 0
"60" 0 1 0.0707822146519233 -2.61320377096208 1 5 0.0707822146519233 2.90532251714139 1
"61" 0 0 0.0156906759139517 -3.33834648056413 0 4 0.0707822146519233 1.04035643759684 0
"62" 1 1 0.0707822146519233 -3.50203810382908 0 1 0.0707822146519233 0.789400360515109 1
"63" 1 1 0.057540698408273 -3.70306503775896 0 4 0.0707822146519233 0.0315430519961709 0
"64" 1 1 0.0166028396932962 -3.28116738923386 0 5 0.0707822146519233 0.915011012918122 0
"65" 0 1 0.0414211520350458 -3.8598140045179 0 4 0.0707822146519233 0.723110010740648 0
"66" 0 0 0.0707822146519233 -3.90635668594603 0 4 0.0707822146519233 1.15542396910217 1
"67" 0 1 0.0030843529670195 -3.81873631065071 0 1 0.0707822146519233 2.9637976934727 0
"68" 0 0 0.0228937371655385 -4.61913394260605 1 5 0.0707822146519233 1.02984448256902 0
"69" 0 0 0.0372335845848019 -2.9714647425974 0 4 0.0707822146519233 -1.51383458188245 0
"70" 1 0 0.0319557646855136 -2.07209783768972 0 1 0.0707822146519233 1.63844635472489 0
"71" 0 0 0.00101800399976404 -3.31357476227601 0 1 0.0707822146519233 0.924408214665426 0
"72" 0 0 0.0120517777909636 -3.30557452085689 0 4 0.0707822146519233 -0.157335113361228 0
"73" 0 0 0.00393713377863614 -1.89675148475642 0 1 0.0707822146519233 2.09503998819015 0
"74" 1 1 0.0521265273590326 -2.73630594532908 0 2 0.0707822146519233 0.369785733491406 0
"75" 1 1 0.041397803824309 -2.82884657275532 0 2 0.0707822146519233 1.90473847898529 0
"76" 1 1 0.0295866988335231 -5.17500627533719 1 4 0.0707822146519233 0.18196922982784 0
"77" 1 1 0.0110875424120097 -3.05690668979273 0 1 0.0707822146519233 1.18534943744489 0
"78" 1 0 0.0707822146519233 -2.89079422142472 0 3 0.0707822146519233 1.57805306607412 1
"79" 1 1 0.0707822146519233 -0.566485946126325 0 4 0.0707822146519233 1.90350074118171 1
"80" 0 0 0.00892959544191797 -1.62596529087929 0 1 0.0707822146519233 1.24054330539738 0
"81" 0 0 0.0272328847940629 -2.41962961227559 0 2 0.0707822146519233 2.76232246023163 0
"82" 0 0 0.0707822146519233 -2.06319825333726 0 4 0.0707822146519233 -0.0853641293740119 1
"83" 1 1 0.0144522741491667 -1.90109576294127 0 2 0.0707822146519233 0.316337727807162 0
"84" 1 0 0.0489471993624731 -2.10347075123125 0 5 0.0707822146519233 1.1502229748834 0
"85" 0 1 0.0031864393661349 -2.73051007332228 0 3 0.0707822146519233 1.30072447000594 0
"86" 0 1 0.0506134883512511 -3.19070963479377 0 0 0.0707822146519233 1.29318597358495 0
"87" 1 0 0.0422734949621002 -4.41174844876404 0 3 0.0707822146519233 2.27783152438326 0
"88" 0 1 0.0106769621758882 -2.87873670182374 0 3 0.0707822146519233 0.532003433226254 0
"89" 0 1 0.0186282940735994 -2.33152565121075 0 6 0.0707822146519233 0.65587615181089 0
"90" 1 0 0.0260853393312229 -4.15824128431567 0 1 0.0707822146519233 2.60240770671039 0
"91" 1 1 0.0459033198842915 -0.70872783290782 0 2 0.0707822146519233 -0.495975965000115 0
"92" 0 1 0.0707822146519233 -2.55181640354322 0 5 0.0707822146519233 3.94926203147731 1
"93" 0 0 0.020955242576699 -3.94502284674383 0 1 0.0707822146519233 0.490970588820843 0
"94" 0 0 0.0405878360429682 -4.66442831623439 0 6 0.0707822146519233 0.770192927740104 0
"95" 1 1 0.0707822146519233 -3.62331277895894 0 4 0.0707822146519233 1.49766171343705 1
"96" 0 0 0.0460052089053125 -4.77404704239601 0 4 0.0707822146519233 2.42788567712847 0
"97" 0 1 0.0274796942384914 -3.50691546419037 0 5 0.0707822146519233 1.13950052337721 0
"98" 0 1 0.0222661782064022 -2.18426563232639 0 3 0.0707822146519233 0.730902514192729 0
"99" 0 1 0.0455528032709807 -3.43759804503614 0 3 0.0707822146519233 0.584477184216539 0
"100" 1 1 0.0588932228535732 -3.20665514420941 0 2 0.0707822146519233 0.108844179157673 0
"101" 0 0 0.0707822146519233 -1.75666092653633 0 2 0.0707822146519233 1.49373242880234 1
"102" 0 1 0.0242616914600862 -3.23756529532672 0 2 0.0707822146519233 0.737463651714994 0
"103" 0 1 0.0299041424462038 -2.05507038524215 0 4 0.0707822146519233 1.08009287224976 0
"104" 0 1 0.058300718322169 -2.82075158050524 0 2 0.0707822146519233 0.100508596553519 0
"105" 0 0 0.0360689450758897 -1.92641307848736 1 0 0.0707822146519233 0.400129705470254 0
"106" 1 1 0.00412041137188244 -2.33826460544953 0 4 0.0707822146519233 -0.832400765467156 0
"107" 1 1 0.00655755960117138 -4.11988279075471 1 1 0.0707822146519233 1.16874302113298 0
"108" 1 0 0.0504250876230037 -3.84366319232691 0 3 0.0707822146519233 2.31938502959582 0
"109" 0 1 0.0329396756182344 -1.84376129358325 0 3 0.0707822146519233 1.74481882214854 0
"110" 0 1 0.0478743054160677 -3.08285637836097 0 4 0.0707822146519233 2.19794176002485 0
"111" 1 0 0.0707822146519233 -3.19483209737651 0 1 0.0707822146519233 2.68221596653236 1
"112" 1 1 0.0707822146519233 -1.95176043986459 0 2 0.0707822146519233 2.30613478484245 1
"113" 0 0 0.0045691007361714 -3.24182064614687 0 2 0.0707822146519233 1.84609349616002 0
"114" 0 0 0.0651959353609673 -4.47120222537035 0 3 0.0707822146519233 2.27310972860519 0
"115" 1 1 0.0644844714928797 -2.55501781624299 0 0 0.0707822146519233 1.01011479195254 0
"116" 0 0 0.0307886800611082 -4.12357789362746 0 5 0.0707822146519233 0.961270896059347 0
"117" 1 1 0.0707822146519233 -2.68564129002595 0 3 0.0707822146519233 0.581691443577195 1
"118" 1 0 0.00937881601416227 -3.53833920462752 0 1 0.0707822146519233 -0.529625883663519 0
"119" 0 0 0.0321985113261829 -3.90604062578548 0 4 0.0707822146519233 -1.13424060601105 0
"120" 1 0 0.0395249215131048 -1.44590027466232 0 4 0.0707822146519233 -0.209444837609009 0
"121" 0 1 0.0250151117526786 -2.9190491297178 0 5 0.0707822146519233 1.51118039543578 0
"122" 0 1 0.0707822146519233 -0.562331586212541 0 0 0.0707822146519233 1.84584077426843 1
"123" 0 0 0.0548545180475416 -2.83767888646511 0 3 0.0707822146519233 0.0794829049931629 0
"124" 0 1 0.020745747638207 -2.31634503727005 0 5 0.0707822146519233 2.3040775339894 0
"125" 0 1 0.0707822146519233 -3.22639983986519 0 1 0.0707822146519233 0.130232431774452 1
