"","A","M_bin","Ycen_int","Y_cont_int","Y_bin_int","Y_count_int","cen","C","delta"
"1",0,1,0.051039744114128,-1.48501909582764,0,1,0.051039744114128,1.42709994737355,1
"2",0,0,0.051039744114128,-2.39372885260246,0,6,0.051039744114128,0.768598555917843,1
"3",0,1,0.051039744114128,-4.37440558175682,0,1,0.051039744114128,1.40399308824373,1
"4",0,1,0.011051935999189,-2.82096881592534,0,4,0.051039744114128,0.45007847128902,0
"5",0,0,0.051039744114128,-2.22782568948961,0,0,0.051039744114128,0.30685960381358,1
"6",0,1,0.051039744114128,-3.11250889037698,0,2,0.051039744114128,-0.372565175096797,1
"7",1,0,0.051039744114128,-2.34410625335715,0,3,0.051039744114128,0.922578690491061,1
"8",0,0,0.00519405343344189,-1.85520571079327,0,3,0.051039744114128,0.89395416491228,0
"9",0,0,0.0195371899589874,-2.87129821880004,0,4,0.051039744114128,1.44066521478613,0
"10",0,0,0.0250991831757861,-1.58167015246354,0,1,0.051039744114128,0.715095425763123,0
"11",1,0,0.0263124804209794,-2.18444391037876,0,4,0.051039744114128,1.63017407418313,0
"12",1,0,0.00805360115109951,-2.17205745828534,0,3,0.051039744114128,-0.60761340579032,0
"13",0,1,0.0290716941193,-4.69702959767433,0,4,0.051039744114128,0.0845502760426293,0
"14",0,1,0.051039744114128,-2.3425628226493,0,4,0.051039744114128,-0.584764415956269,1
"15",1,1,0.0162726998993113,-2.01278387362956,0,2,0.051039744114128,-0.115796811000085,0
"16",1,1,0.0214503711610928,-4.22378291444426,0,3,0.051039744114128,1.68572803311131,0
"17",0,1,0.004973980986296,-0.485684687490217,0,2,0.051039744114128,2.13508763383058,0
"18",0,1,0.0215620998300677,-2.87484241293977,0,0,0.051039744114128,2.09280919355302,0
"19",0,0,0.051039744114128,-2.79373340121938,0,2,0.051039744114128,-0.0839065442870499,1
"20",1,0,0.0219879958236845,-3.00699454455487,0,6,0.051039744114128,0.0435411738387445,0
"21",0,0,0.051039744114128,-3.07764159510224,0,3,0.051039744114128,-0.613346849337158,1
"22",1,1,0.0377069732940977,-2.26596790029503,0,4,0.051039744114128,1.99794902251801,0
"23",0,0,0.0169322479316038,-2.18766405191348,1,2,0.051039744114128,1.801066684137,0
"24",1,0,0.051039744114128,-2.75848417671244,0,3,0.051039744114128,1.8201047760212,1
"25",0,1,0.0301056237073173,-0.989975157477285,0,0,0.051039744114128,0.907206235377292,0
"26",0,0,0.011784005767462,-4.51602601583181,0,3,0.051039744114128,0.687748142337789,0
"27",1,1,0.039463324491109,-2.869067587031,0,2,0.051039744114128,2.93903076500336,0
"28",1,1,0.0154638422922133,-4.16609486266691,0,2,0.051039744114128,0.319515920143305,0
"29",0,1,0.0258139920036653,-3.76547937024122,0,2,0.051039744114128,0.950920794601604,0
"30",0,0,0.0350090719912837,-3.25562216921202,0,3,0.051039744114128,1.12000937081117,0
"31",0,1,0.051039744114128,-3.66174293041575,0,1,0.051039744114128,-0.308588787887879,1
"32",1,1,0.00220164202868148,-1.560612565106,0,1,0.051039744114128,1.59255501738923,0
"33",0,1,0.0254298100349789,-2.00107262028317,0,3,0.051039744114128,-0.0403843740072645,0
"34",1,0,0.0354023612125194,-4.64470884549357,0,2,0.051039744114128,-0.195258393896444,0
"35",1,0,0.0272371557726257,-2.60111437971341,0,4,0.051039744114128,-0.835423309976087,0
"36",1,0,0.019483302896867,-3.09026435270699,1,2,0.051039744114128,1.09616533076723,0
"37",0,0,0.0216097199467323,-1.90155569221423,0,3,0.051039744114128,1.19065479294453,0
"38",1,1,0.0286091623722133,-3.09688832479755,0,6,0.051039744114128,1.36148211784239,0
"39",1,1,0.0308790712106183,-1.91203944099156,0,3,0.051039744114128,1.93399699763769,0
"40",0,1,0.0422950061695739,-2.19853310313726,0,3,0.051039744114128,0.147082491852023,0
"41",0,1,0.051039744114128,-4.20054247603419,0,5,0.051039744114128,0.616968875396162,1
