"","Y_bincc","A","M","C"
"1",0,1,0.715505372846208,0
"2",0,0,1.58714076510225,1
"3",0,1,-0.544076557434339,1
"4",0,1,-0.98388304473682,1
"5",0,1,0.762838641474213,1
"6",0,1,-1.33910069925812,1
"7",0,1,0.573063649150448,0
"8",0,1,-0.163754497869081,0
"9",0,1,0.00362213973595177,1
"10",0,0,-0.389944207513581,1
"11",0,1,-1.87414675186342,1
"12",0,1,0.87033566892267,1
"13",0,1,0.283590693278401,0
"14",0,1,-0.903197400491312,1
"15",0,1,0.0500353464131149,1
"16",0,1,0.101783576589811,1
"17",0,1,-0.450534682903597,0
"18",0,1,-0.538886306116825,0
"19",0,1,-0.907359779849802,0
"20",0,1,-0.623306146955599,1
"21",0,1,0.743541209673525,1
"22",0,0,-0.446742010496475,1
"23",0,1,1.86065622481803,1
"24",0,1,0.372438780639894,0
"25",0,1,0.522182459923831,0
"26",0,1,1.05267246055859,1
"27",0,0,0.623835115924512,1
"28",0,0,0.693316651914045,1
"29",0,1,0.818513204241192,0
"30",0,0,1.39177014355863,1
"31",0,1,1.35379104101613,0
"32",0,0,0.655549778334415,1
"33",0,1,-0.413051713152516,0
"34",0,1,-1.37403255760978,1
"35",0,1,-0.9098909657114,1
"36",0,1,-0.354148850908181,0
"37",0,0,-0.154502348302683,0
"38",0,1,1.20471520445301,1
"39",0,1,0.318939089947237,0
"40",0,1,-0.736385465729757,1
"41",0,1,-2.07342026340776,0
"42",0,1,1.63219111133783,1
"43",0,1,0.80643233042226,1
"44",0,1,-0.0916227180181245,1
"45",0,1,0.381775971845356,0
"46",0,1,0.463416140900835,1
"47",0,0,0.0754720323507905,1
"48",0,0,1.11429668130044,1
"49",0,1,1.00400769561016,1
"50",0,0,0.495588036210096,0
"51",0,0,-0.275226445368691,0
"52",0,1,0.5113629586915,1
"53",0,0,-1.73398321561662,1
"54",0,1,-0.0426507972045744,0
"55",0,0,-0.415833484092181,1
"56",0,0,-1.07120145515643,1
"57",0,1,-0.28883094903354,0
"58",0,1,-0.190201998711751,0
"59",0,1,-0.95906175968955,0
"60",0,1,-0.480862824166457,0
"61",0,0,0.418491574408126,1
"62",0,0,-1.9883514794946,0
"63",0,0,1.38203531521989,1
"64",0,0,-1.22348568225271,0
"65",0,1,-1.00965115408154,1
"66",0,0,-0.211623676709759,1
"67",0,1,-0.779236158089533,0
"68",0,1,-0.402751432881452,1
"69",0,0,1.63834756602251,1
"70",0,0,1.36328292970869,1
"71",0,1,1.62843053534852,1
"72",0,0,-1.69895314952435,0
"73",0,0,-0.760232986910395,1
"74",0,1,-0.255834849806416,1
"75",0,1,0.079269826832601,0
"76",0,1,0.287401982086028,1
"77",0,0,-1.73974026674987,0
"78",0,1,0.0940003630913167,1
"79",0,1,1.97062324133054,1
"80",0,1,-1.20890871062993,1
"81",0,1,1.79394725126836,1
"82",0,1,0.609639298871986,0
"83",0,1,-1.70302061308847,1
"84",0,1,0.0592221544600244,1
"85",0,0,-1.45162456371177,1
"86",0,0,1.7762456565184,0
"87",0,1,-0.96798623527743,0
"88",0,1,0.482818025525779,1
"89",0,1,0.168053448079849,1
"90",0,1,-0.907786456515977,0
"91",0,0,0.0195511583949852,0
"92",0,1,-0.806716561762841,1
"93",0,1,-1.89859423004961,1
"94",0,0,1.77628413512528,1
"95",0,0,0.407811901329795,1
"96",0,0,-1.2752042095676,0
"97",0,0,0.412901310560867,0
"98",0,0,-1.54478528733771,1
"99",0,1,0.634549056153313,1
"100",0,1,1.0741594344249,1
"101",0,1,-0.806801345126888,0
"102",0,1,-2.19801664721623,1
"103",0,1,0.559468956360163,1
"104",0,1,-0.242352982617559,1
"105",0,0,0.267375823576878,1
"106",0,1,-0.615576053146855,0
"107",0,1,1.02267598468078,1
"108",0,0,1.26954965855827,0
"109",0,0,-1.27743754478266,0
"110",0,1,0.217400081561207,1
"111",0,0,-0.372669463978152,0
"112",0,1,0.513829080963749,0
"113",0,1,0.754977444882807,1
"114",0,1,0.761358896368209,1
"115",0,1,0.470262069527927,0
"116",0,0,2.29354422262334,1
"117",0,1,0.311774509394137,0
"118",0,1,-0.459533241409808,1
"119",0,1,-0.926926861032897,1
"120",0,0,-0.645880415563094,1
"121",0,0,1.2754492806895,0
"122",0,0,-0.311820613933049,0
"123",0,1,-0.388862140547416,1
"124",0,1,0.835465895053959,1
"125",0,1,1.33062385236265,1
"126",0,0,-1.22559823415921,0
"127",0,1,0.316780349309714,1
"128",0,0,3.49907545224723,1
"129",0,1,0.0429947958903054,0
"130",0,0,1.76861600262121,0
"131",0,1,1.07787818915039,1
"132",0,1,-0.50638228149888,1
"133",0,1,0.973352055731734,1
"134",0,1,0.571922919934718,1
"135",0,1,-0.514016768975897,1
"136",0,0,-0.716513908469004,1
"137",0,1,1.26228944886455,0
"138",0,1,1.04657984110378,1
"139",0,0,-1.77765680024958,1
"140",0,1,0.312502324092952,1
"141",0,0,0.841133331979949,1
"142",0,0,-0.387684571165914,1
"143",0,1,1.11895014412932,1
"144",0,1,1.47992084087136,1
"145",0,0,-0.275879048415749,1
"146",0,1,0.987506457332646,0
"147",0,1,-0.0486049992224948,0
"148",0,1,-0.675050437005871,1
"149",0,1,-0.0308182345347849,1
"150",0,1,-0.924842209693691,0
"151",0,1,0.699874679460664,0
"152",0,0,-1.15940722406847,0
"153",0,0,0.229929263464493,1
"154",0,1,-0.540972140675145,1
