Obs ,effect ,Estimate ,s_e_ ,_95__CI_lower ,_95__CI_upper 
,,,,,
1,marginal cde ,1.01498,0.057436,0.9028,1.12769
,,,,,
2,marginal pnde,0.99882,0.03739,0.93374,1.08248
,,,,,
3,marginal pnie,0.99738,0.003374,0.9916,1.00358
,,,,,
4,marginal tnde,0.99701,0.036818,0.93386,1.07693
,,,,,
5,marginal tnie,0.9956,0.004258,0.98422,1.00137
,,,,,
6,marginal total effect ,0.99441,0.036951,0.93065,1.07437
,,,,,
7,conditional cde ,1.01498,0.057436,0.9028,1.12769
,,,,,
8,conditional pnde ,0.9989,0.037417,0.93373,1.08266
,,,,,
9,conditional pnie ,0.99738,0.003374,0.9916,1.00358
,,,,,
10,conditional tnde ,0.99709,0.036823,0.93385,1.07712
,,,,,
11,conditional tnie ,0.9956,0.004257,0.98422,1.00137
,,,,,
12,conditional total effect ,0.99448,0.036964,0.93062,1.07456
,,,,,
