Obs ,effect ,Estimate ,p_value ,_95__CI_lower ,_95__CI_upper 
,,,,,
1,marginal cde ,1.05525,0.59897,0.86359,1.28945
,,,,,
2,marginal pnde,1.1469,0.06789,0.98997,1.32872
,,,,,
3,marginal pnie,1.01069,0.19835,0.99445,1.0272
,,,,,
4,marginal tnde,1.15551,0.05929,0.99435,1.34279
,,,,,
5,marginal tnie,1.01827,0.15397,0.99324,1.04394
,,,,,
6,marginal total effect ,1.16786,0.04276,1.00507,1.35702
,,,,,
7,conditional cde ,1.05525,0.59897,0.86359,1.28945
,,,,,
8,conditional pnde ,1.14653,0.06836,0.98975,1.32815
,,,,,
9,conditional pnie ,1.0107,0.1984,0.99444,1.02722
,,,,,
10,conditional tnde ,1.15514,0.05958,0.99419,1.34216
,,,,,
11,conditional tnie ,1.01829,0.15405,0.99322,1.04399
,,,,,
12,conditional total effect ,1.1675,0.043,1.00489,1.35643
,,,,,
