effect,Estimate,p_value,_95__CI_lower,_95__CI_upper
marginal cde,3.1010724996,0.0417053311,1.043401438,9.2166354169
marginal pnde,1.4197430579,0.2884179196,0.7433427873,2.7116296615
marginal pnie,1.0543259807,0.1716539537,0.9773077878,1.1374137069
marginal tnde,1.3380382068,0.3787402436,0.6996147915,2.5590457273
marginal tnie,0.9936505319,0.7895947306,0.9482309177,1.0412457146
marginal total effect,1.4107284447,0.295815829,0.7400615065,2.6891747876
conditional cde,3.1010724996,0.0417053311,1.043401438,9.2166354169
conditional pnde,1.4234506152,0.2849088378,0.7452201946,2.7189435669
conditional pnie,1.054462418,0.1718678014,0.9772158321,1.1378151627
conditional tnde,1.3413596711,0.3745960949,0.7014453512,2.5650548029
conditional tnie,0.993651165,0.7895406262,0.9482476387,1.0412286806
conditional total effect,1.4144133622,0.2921290424,0.7420349281,2.6960525487
