effect,Estimate,p_value,_95__CI_lower,_95__CI_upper
marginal cde,1.071376321,0.8226113418,0.5863654629,1.9575628065
marginal pnde,1.071376321,0.8226113418,0.5863654629,1.9575628065
marginal pnie,1.0102323375,0.5480853853,0.9772229344,1.0443567582
marginal tnde,1.071376321,0.8226113418,0.5863654629,1.9575628065
marginal tnie,1.0102323375,0.5479605411,0.9772330607,1.0443459363
marginal total effect,1.0823390052,0.7967464005,0.5927381418,1.9763494865
conditional cde,1.071376321,0.8226113418,0.5863654629,1.9575628065
conditional pnde,1.071376321,0.8226113418,0.5863654629,1.9575628065
conditional pnie,1.0102386052,0.548230508,0.9771974283,1.0443969763
conditional tnde,1.071376321,0.8226113418,0.5863654629,1.9575628065
conditional tnie,1.0102386052,0.5481138825,0.9772068993,1.0443868541
conditional total effect,1.0823457202,0.7967308797,0.5927416989,1.9763621494
