effect,Estimate,s_e_,p_value,_95__CI_lower,_95__CI_upper
marginal cde,0.2072585192,0.0094338718,0,0.1887681304,0.225748908
marginal pnde,0.208090712,0.0983584161,0.0343756858,0.0153082165,0.4008732075
marginal pnie,0.0077066679,0.0983584161,0.9375473328,-0.185075828,0.2004891634
marginal tnde,0.2081645292,0.0983584161,0.0343118584,0.0153820337,0.4009470247
marginal tnie,0.007780485,0.0983584161,0.93695038,-0.18500201,0.2005629805
marginal total effect,0.215871197,0.0983584161,0.0281822194,0.0230887015,0.4086536926
conditional cde,0.2072585192,0.0094338718,0,0.1887681304,0.225748908
conditional pnde,0.207975402,0.0065925063,0,0.1950540895,0.2208967144
conditional pnie,0.0079379875,0.0050199533,0.1138124029,-0.001901121,0.017777096
conditional tnde,0.2080514348,0.0065866249,0,0.1951416499,0.2209612197
conditional tnie,0.0080140203,0.0050741535,0.1142487544,-0.001931321,0.0179593613
conditional total effect,0.2159894223,0.0101792768,0,0.1960380398,0.2359408048
